Dialect,序號,詞目,詞性,詞目索引,音讀,音讀（符號）,PFS,PFS輸入式,方言點,釋義,例句,相似詞,相反詞,對應音檔名稱
四縣腔,4629,親戚, ,詞目分類索引/稱謂身分,qin24 qid2,qinˊ qidˋ,chhîn-chhit,chhin1-chhit6,,血親與姻親。,例：親戚愛輒輒聯絡，交情自然會長久。(親戚要常常聯絡，交情自然就會長久。), , ,　
四縣腔,4630,親切, ,詞目分類索引/人物品評,qin24 qied2,qinˊ qiedˋ,chhîn-chhiet,chhin1-chhiet6,,和善熱誠。,例：佢對人當親切，輒常開容笑面，大家都肯同佢交往。(他對人很親切，常常是笑容滿面，大家都喜歡和他交往。), , ,　
四縣腔,4631,親生, ,詞目分類索引/宗教民俗,qin24 sen24,qinˊ senˊ,chhîn-sên,chhin1-sen1,,親自生育的。,例：頭擺人講「親生子毋當荷包錢」恁仔敢著？(從前人說親自生養的孩子比不過荷包裡的錢，這樣對嗎？), ,揇个,　
四縣腔,4632,親手, , ,qin24 su31,qinˊ suˋ,chhîn-sú,chhin1-su3,,親自動手。,例：田頭這頭老樟樹係阿太親手種个。(田邊這棵老樟樹是曾祖父親手種的。), , ,　
四縣腔,4633,諺語, , ,ngien55 ngi24,ngien ngiˊ,ngien-ngî,ngien4-ngi1,,俗語的一種，民間廣泛流傳的簡短通俗、含義深刻的固定語句，是群眾生活經驗的結晶。　,例：客話肚个老古人言，有諺語、有師傅話，乜有較通俗个俗話。(（客家話裡的老古人言，有諺語、有歇後語，也有較通俗的俗語。）),往語老古人言俗話, ,　
四縣腔,4634,貓嫲, , ,meu55 ma11,meu maˇ,meu-mà,meu4-ma2,,母貓。,例：貓子係分人動過，貓嫲就會銜貓子徙竇。(小貓如果被人動過，母貓就會銜著小貓搬家。), ,貓牯,　
四縣腔,4635,貓頭鳥, ,詞目分類索引/動物,meu55 teu11 diau24,meu teuˇ diauˊ,meu-thèu-tiâu,meu4-theu2-tiau1,,動物名。即貓頭鷹。為肉食性動物，眼睛大而圓，晝伏夜出，具強而有力的嘴和爪，因其捕食鼠類、麻雀等小動物，故農人認為是益鳥。又因牠的臉似貓，所以稱之為「貓頭鳥」。,例：貓頭鳥當生趣，暗晡頭盡會打老鼠，日時頭淨會啄目睡定定。(貓頭鷹很有趣，晚上很能捉老鼠，白天只會打瞌睡而已。), , ,　
四縣腔,4636,賴人, ,"詞目分類索引/人際互動
詞目分類索引/人物品評",lai55 ngin11,lai nginˇ,lai-ngìn,lai4-ngin2,,1.誣賴；對他人做不確實的指控。　2.依賴、推託給別人。,"例：該賊仔分人捉著哩，還想愛賴人。(那個小偷被人捉抓到了，還想要誣賴別人。)
例：自家會做个事情，莫下下愛賴人。(自己能做的事情，別每次都要推給他人。)", , ,　
四縣腔,4637,賴孵, ,"詞目分類索引/動物
詞目分類索引/事物情狀",lai55 pu55,lai pu,lai-phu,lai4-phu4,,沒有蛋，母雞仍然在雞窩裡孵著不肯走。,例：賴孵个雞嫲會緊來緊瘦，愛遽遽摝分佢醒。(沒孵蛋又在雞窩裡賴著的母雞會越來越瘦，要趕快弄醒牠。), , ,　
四縣腔,4638,輸血, ,詞目分類索引/疾病醫療,su24 hied2,suˊ hiedˋ,sû-hiet,su1-hiet6,,把健康人的血漿，移注到病人的體內。,例：該載先生黏時同佢輸血急救，正做得留下一命。(幸好醫生即時替他輸血急救，才得以活命。),注血, ,　
四縣腔,4639,輸贏, , ,su24 iang11,suˊ iangˇ,sû-yàng,su1-yang2,,1.勝或敗。　2.與人較量，以定輸贏。　,"例：這滿球賽麼人輸贏，你知無？(（這局球賽誰輸或贏，你知道嗎？）)
例：你講有，𠊎講無，𫣆來輸贏，輸个人辦一桌酒席請人(（你說有，我說沒有，我們來賭輸贏，輸的人辦一桌酒席請客。）)", , ,　
四縣腔,4640,辦法, , ,pan55 fab2,pan fabˋ,phan-fap,phan4-fap6,,處理事務或用以解決問題的方法。,例：求人毋當求己，堵著問題，還係愛靠自家想辦法解決正好。(求人不如求己，遇到問題，還是要靠自己想辦法解決才好。),法度　方法, ,　
