Dialect,序號,詞目,詞性,詞目索引,音讀,音讀（符號）,PFS,PFS輸入式,方言點,釋義,例句,相似詞,相反詞,對應音檔名稱
四縣腔,1,包包㘝㘝, ,"聲母索引/01 四縣/b/au/陰平(1/ˊ/24)
詞目分類索引/表情動作",bau24 bau24 ngiab2 ngiab2,bauˊ bauˊ ngiabˋ ngiabˋ,pâu-pâu-ngiap-ngiap,pau1-pau1-ngiap6-ngiap6,,偷偷摸摸地藏東西。,例：看佢包包㘝㘝，毋知偷拿麼个？(看他偷偷摸摸地在藏東西，不知偷拿什麼？),偷偷㘝㘝　偷偷楔楔　偷偷擸擸, ,　
四縣腔,2,胞衣, ,"聲母索引/01 四縣/b/au/陰平(1/ˊ/24)
詞目分類索引/人體器官
詞目分類索引/疾病醫療",bau24 i24,bauˊ iˊ,pâu-yî,pau1-yi1,,胎盤，包裹胎兒的一層薄膜。,例：狗子一養啊出，狗嫲會煞煞摎厥胞衣舐淨來。(小狗一生出來，母狗會趕緊把牠的胎盤舔乾淨。),紫河車, ,　
四縣腔,3,包山塞海, ,"聲母索引/01 四縣/b/au/陰平(1/ˊ/24)
詞目分類索引/慣用語",bau24 san24 sed2 hoi31,bauˊ sanˊ sedˋ hoiˋ,pâu-sân-set-hói,pau1-san1-set6-hoi3,,形容數量非常多。,例：宮廟做大戲，滿哪都係包山塞海个人，鬧熱煎煎仔。(廟裡演戲酬神，到處人山人海，非常熱鬧。),包山包海　掖蔴掖米　弛崗打陣, ,　
四縣腔,4,崩山, , ,ben24 san24,benˊ sanˊ,pên-sân,pen1-san1,,山崩。　,"落雨過後，該片異輒崩山，愛細義。
下雨過後，那邊經常山崩，要小心。",崩山㪐屻　屙山　推山　, ,　
四縣腔,5,陂塘, ,"聲母索引/01 四縣/b/i/陰平(1/ˊ/24)
詞目分類索引/天文地理",bi24 tong11,biˊ tongˇ,pî-thòng,pi1-thong2,,池塘。人工修築，用以灌溉的蓄水池。,例：屋脣个陂塘肚有當多魚仔，有好食，乜做得看靚。(屋旁的池塘裡有很多魚，有得吃，也可供觀賞。),魚塘　山塘, ,　
四縣腔,6,祕結, ,"詞目分類索引/疾病醫療
聲母索引/01 四縣/b/i/去聲(3/ /55)",bi55 gied2,bi giedˋ,pi-kiet,pi4-kiet6,,便祕。糞便停留在大腸的時間過久，導致乾硬糞便堆積，造成大便不順暢。,例：少食青菜个人較會祕結。(少吃青菜的人比較容易便祕。),熱結　屙硬屎, ,　
四縣腔,7,拚掃, ,"詞目分類索引/表情動作
聲母索引/01 四縣/ng/ia/去聲(3/ /55)",biang55 so55,biang so,piang-so,piang4-so4,,打掃、掃除。,例：阿伯姆當煞猛，日日都摎屋前屋背拚掃到淨淨俐俐。(伯母很勤奮，天天都把屋前屋後打掃得乾乾淨淨。), , ,　
四縣腔,8,變面, ,"詞目分類索引/表情動作
聲母索引/01 四縣/n/ie/去聲(3/ /55)
詞目分類索引/思維心態
詞目分類索引/人際互動",bien55 mien55,bien mien,pien-mien,pien4-mien4,,翻臉。對人的態度突然變壞。,例：佢當難服侍，動啊著就變面。(他很難伺候，動不動就翻臉。),壞面　貶面, ,　
四縣腔,9,發癲, ,"詞目分類索引/疾病醫療
詞目分類索引/思維心態
聲母索引/01 四縣/d/o/陰入(4/ˋ/2)",bod2 dien24,bodˋ dienˊ,pot-tiên,pot6-tien1,,1.發瘋。因神經錯亂而失常。　2.（貶）嘲諷人言行不正常。,"例：佢堪毋得恁多打擊，續發癲吔。(他承受不了這麼多打擊，就發瘋了。)
例：你仰無搭無碓笑到毋會轉聲，發癲抑毋係。(你怎麼無緣無故笑到岔氣，瘋了是不是。)",起癲　癲忒, ,　
四縣腔,10,發夢, ,"詞目分類索引/疾病醫療
聲母索引/01 四縣/d/o/陰入(4/ˋ/2)",bod2 mung55,bodˋ mung,pot-mung,pot6-mung4,,1.作夢。為睡眠時腦細胞活動所產生的一種幻象。　2.比喻空想、幻想。,"例：𠊎昨暗晡當好睡，無麼个有發夢。(我昨晚很好睡，不太作夢。)
例：毋去做頭路就想等愛賺大錢，發夢正得！(不去工作就想著要發財，真是空想！)",2.戇想　2.妄想, ,　
四縣腔,11,補冬, ,"詞目分類索引/疾病醫療
聲母索引/01 四縣/b/u/上聲(2/ˋ/31)
詞目分類索引/宗教民俗",bu31 dung24,buˋ dungˊ,pú-tûng,pu3-tung1,,冬日進補。過去的社會慣於冬天食用補品，認為可以藉此增強體力，抵禦寒氣。,例：冬節到吔，來去拈補藥燉雞肉補冬。(冬至到了，去買中藥燉雞肉進補。), , ,　
四縣腔,12,補鑊鳥, ,"聲母索引/01 四縣/b/u/上聲(2/ˋ/31)
詞目分類索引/動物",bu31 vog5 diau24,buˋ vog diauˊ,pú-vo̍k-tiâu,pu3-vok5-tiau1,,白腹秧雞。秧雞科鳥類，中小體型，尾短。頭、背部及翅膀為黑色，臉、胸、腹部為白色。常隱身於稻田或近水草叢中，清晨及黃昏可聞其鳴叫聲。客家人因其鳴聲近似「補鑊」而稱之。,例：臨暗仔一陣雨落啊過，補鑊鳥叫無停。(傍晚下一陣雨過後，白腹秧雞叫不停。), , ,　
四縣腔,13,布篷, ,"聲母索引/01 四縣/b/u/去聲(3/ /55)
詞目分類索引/衣著裝扮",bu55 pung11,bu pungˇ,pu-phùng,pu4-phung2,,用布製成的篷子，泛指大帳篷。　,"莊下人做好事，大部分會搭布篷請人客。
鄉下人辦喜事時，大部分會搭布篷請客。",棚仔　篷仔　, ,　
四縣腔,14,不褡不膝, ,"詞目分類索引/慣用語
詞目分類索引/人物品評
詞目分類索引/事物情狀",bud2 dab2 bud2 qid2,budˋ dabˋ budˋ qidˋ,put-tap-put-chhit,put6-tap6-put6-chhit6,,不三不四、不成體統。形容人或事情不像樣、不切實際。,例：該儕人講話不褡不膝，盡得人惱。(那個人說話不三不四，最討人厭。),阿里不答, ,　
四縣腔,15,腹內, ,"詞目分類索引/人體器官
詞目分類索引/疾病醫療
詞目分類索引/飲食",bug2 nui55,bugˋ nui,puk-nui,puk6-nui4,,內臟。人或動物體腔內的胃、肝等各種器官。　,"外國人較毋好食豬腹內，同𫣆俚無相同。
外國人比較不愛吃豬內臟，跟我們不一樣。",下水　, ,　
四縣腔,16,本本, ,"詞目分類索引/事物情狀
聲母索引/01 四縣/n/u/上聲(2/ˋ/31)",bun31 bun31,bunˋ bunˋ,pún-pún,pun3-pun3,,仍然、依舊。,例：佢長透分人罵，過忒還係本本共樣，實在就死無變。(他總是被罵，事後還是依然故我，實在是死性不改。), , ,　
四縣腔,17,本莊, ,"聲母索引/01 四縣/n/u/上聲(2/ˋ/31)
詞目分類索引/空間方位",bun31 zong24,bunˋ zongˊ,pún-chông,pun3-chong1,,本地。自己所屬的村落、居地範圍。,例：這條細路仔愛本莊人正知。(這條小路要本地人才知道。),本鄉　本地　在地,外莊　外鄉外地,　
四縣腔,18,畚斗, ,"聲母索引/01 四縣/n/u/去聲(3/ /55)
詞目分類索引/器物用品",bun55 deu31,bun deuˋ,pun-téu,pun4-teu3,,用來盛裝垃圾的箕形器具。,例：去拿畚斗同這兜垃圾抔出去。(去拿畚斗把這些垃圾裝出去。), , ,　
四縣腔,19,畚箕, ,"聲母索引/01 四縣/n/u/去聲(3/ /55)
詞目分類索引/器物用品",bun55 gi24,bun giˊ,pun-kî,pun4-ki1,,用來裝垃圾、泥土的竹製器具。,例：這堆泥沙仔㧡忒歸十畚箕，到今還清毋淨。(這堆泥沙挑走了將近十畚箕的量，到現在還清不乾淨。), , ,　
四縣腔,20,糞缸, ,"聲母索引/01 四縣/n/u/去聲(3/ /55)
詞目分類索引/建築住居",bun55 gong24,bun gongˊ,pun-kông,pun4-kong1,,糞坑。舊時稱解大便的處所，在農家常與豬圈相連。,例：頭擺个糞缸無弇好，一行兼就臭到佇毋著。(以前的糞坑沒有掩蓋好，一靠近就臭得受不了。),糞窖　便所　屎缸　屎窟, ,　
四縣腔,21,茶罐, ,"詞目分類索引/飲食
聲母索引/01 四縣/c/a/陽平(5/ˇ/11)",ca11 gon55,caˇ gon,chhà-kon,chha2-kon4,,茶壺。用以燒開水或泡茶的器具。亦可說「茶罐仔」。,例：茶罐肚項有菊花茶，遽遽去斟一杯來食。(茶壺裡有菊花茶，快去倒一杯來喝。),茶炙　茶壺, ,　
四縣腔,22,茶箍, ,"詞目分類索引/器物用品
聲母索引/01 四縣/c/a/陽平(5/ˇ/11)",ca11 gu24,caˇ guˊ,chhà-kû,chha2-ku1,,肥皂。早期的肥皂是用榨過茶油的茶子渣，加入碎稻草壓製成圓塊狀，故稱「茶箍」。今多用化學方法製作，但仍延用此名。,例：先用茶箍摎手洗淨來，正來食飯。(先用肥皂把手洗乾淨，再來吃飯。),番仔茶箍　香茶箍, ,　
四縣腔,23,茶油, ,"詞目分類索引/飲食
聲母索引/01 四縣/c/a/陽平(5/ˇ/11)
詞目分類索引/植物",ca11 iu11,caˇ iuˇ,chhà-yù,chha2-yu2,,苦茶油。由苦茶樹種子壓榨製成的油，可以食用，亦可製成護髮劑或治療燙傷的藥膏。,例：這兩子爺淨食麵線攪茶油來過晝。(這父子倆只吃麵線拌茶油度過中餐。), , ,　
四縣腔,24,茶青, ,"詞目分類索引/飲食
聲母索引/01 四縣/c/a/陽平(5/ˇ/11)
詞目分類索引/植物",ca11 qiang24,caˇ qiangˊ,chhà-chhiâng,chha2-chhiang1,,從茶樹採摘下來的生葉原料。,例：今年个茶青價錢罔罔仔。(今年的生茶葉價錢還不錯。),茶菜, ,　
四縣腔,25,茶芯, ,"詞目分類索引/飲食
聲母索引/01 四縣/c/a/陽平(5/ˇ/11)
詞目分類索引/植物",ca11 xim24,caˇ ximˊ,chhà-sîm,chha2-sim1,,茶樹的嫩葉。,例：摘茶愛摘茶芯，毋係脣項个老葉仔。(採茶要摘茶芯，不是旁邊的老葉子。), , ,　
四縣腔,26,車錢, ,"聲母索引/01 四縣/c/a/陰平(1/ˊ/24)
詞目分類索引/交通通訊",ca24 qien11,caˊ qienˇ,chhâ-chhièn,chha1-chhien2,,車資、交通費。搭車時依路程遠近、車種所應付的費用。,例：佢為著愛省車錢，逐日騎自行車上下班。(他為了要省交通費，每天騎自行車上下班。), , ,　
四縣腔,27,車頭, ,"聲母索引/01 四縣/c/a/陰平(1/ˊ/24)
詞目分類索引/交通通訊",ca24 teu11,caˊ teuˇ,chhâ-thèu,chha1-theu2,,1.車子的前端。　2.車站。,"例：這擺車禍，厥車頭分人撞到綿綿。(這次車禍，他的車頭被撞得稀爛。)
例：逐日下課，阿爸會來車頭載𠊎轉屋。(每天下課，父親會來車站載我回家。)",2.車站,1.車尾,　
四縣腔,28,車針, ,"詞目分類索引/衣著裝扮
聲母索引/01 四縣/c/a/陰平(1/ˊ/24)",ca24 ziim24,caˊ ziimˊ,chhâ-chṳ̂m,chha1-chiim1,,縫紉機使用的針。,例：車衫褲愛看好，毋好分車針刺著。(縫衣服要看仔細，不要被車針刺到。), , ,　
四縣腔,29,𥯥箕, ,"詞目分類索引/器物用品
聲母索引/01 四縣/c/ab/陰入(4/ˋ/2)",cab2 gi24,cabˋ giˊ,chhap-kî,chhap6-ki1,,用以盛裝稻穀、砂石等散物的器具。以竹編或鋁製，貌似畚箕，但體積較小且沒有把手。,例：收穀愛用𥯥箕來抔。(收稻穀要用畚箕來盛裝。), , ,　
四縣腔,30,炒肉, ,"詞目分類索引/飲食
聲母索引/01 四縣/c/au/上聲(2/ˋ/31)",cau31 ngiug2,cauˋ ngiugˋ,chháu-ngiuk,chhau3-ngiuk6,,客家小炒。客家名菜之一，將魷魚、五花肉切成條狀，加青蔥翻炒而成。,例：若心臼恁會煮食，炒肉炒到香馞馞仔。(你的媳婦這麼會煮菜，客家小炒炒得香噴噴的。), , ,　
四縣腔,31,柿餅, ,"詞目分類索引/飲食
詞目分類索引/植物
聲母索引/01 四縣/c/ii/去聲(3/ /55)",cii55 biang31,cii biangˋ,chhṳ-piáng,chhii4-piang3,,將柿子晒乾或烘乾壓扁製成的食品。,例：北埔出產个杮餅當好食。(北埔出產的柿餅很好吃。),柿花, ,　
四縣腔,32,直腸直肚, ,"詞目分類索引/慣用語
詞目分類索引/人物品評
聲母索引/01 四縣/d/ii/陽入(8/ /5)",ciid5 cong11 ciid5 du31,ciid congˇ ciid duˋ,chhṳ̍t-chhòng-chhṳ̍t-tú,chhiit5-chhong2-chhiit5-tu3,,心直口快。形容人個性直爽坦白、無心機。,例：佢一旦都直腸直肚，成時會跌罪著人。(他一向心直口快，有時會得罪別人。), ,橫腸橫肚,　
四縣腔,33,陣寒陣熱, ,"詞目分類索引/疾病醫療
詞目分類索引/慣用語
詞目分類索引/天文地理
詞目分類索引/事物情狀
聲母索引/01 四縣/n/ii/去聲(3/ /55)",ciin55 hon11 ciin55 ngied5,ciin honˇ ciin ngied,chhṳn-hòn-chhṳn-ngie̍t,chhiin4-hon2-chhiin4-ngiet5,,忽冷忽熱。用於形容氣溫變化快或生病時身體的感覺。,例：這駁仔天時陣寒陣熱，大家愛著加幾領衫，正毋會寒著。(這陣子天氣忽冷忽熱，大家要多穿幾件衣服，才不會感冒。), , ,　
四縣腔,34,陣頭, ,聲母索引/01 四縣/n/ii/去聲(3/ /55),ciin55 teu11,ciin teuˇ,chhṳn-thèu,chhiin4-theu2,,民俗節慶時，參加表演的業餘樂團或遊藝團體。如臺灣地區廟會時迎神行列中的南管﹑北管、宋江陣、車鼓弄等。,例：該隻莊頭做鬧熱，請當多陣頭來迎。(那個村莊大拜拜，請很多陣頭來遊行。), , ,　
四縣腔,35,槽頭肉, ,"詞目分類索引/飲食
聲母索引/01 四縣/c/o/陽平(5/ˇ/11)",co11 teu11 ngiug2,coˇ teuˇ ngiugˋ,chhò-thèu-ngiuk,chho2-theu2-ngiuk6,,位於豬下巴脖子處的肉，是豬吃飼料時常觸到飼料槽的地方，故名之。,例：這垤槽頭肉還罔食。(這塊豬下巴的肉還滿好吃的。),二囊肉　磨篼肉, ,　
四縣腔,36,坐尞, ,"詞目分類索引/人際互動
聲母索引/01 四縣/c/o/陰平(1/ˊ/24)
詞目分類索引/運動休閒",co24 liau55,coˊ liau,chhô-liau,chho1-liau4,,坐下休息、閒聊。,例：下晝頭當多老人家會去公園坐尞。(下午很多老人家會去公園坐坐。), , ,　
四縣腔,37,草埔, ,"詞目分類索引/天文地理
詞目分類索引/植物
聲母索引/01 四縣/c/o/上聲(2/ˋ/31)",co31 pu24,coˋ puˊ,chhó-phû,chho3-phu1,,草地、長滿荒草的埔地。,例：該搭草埔無人知理，生草濘弄。(那塊草地沒人整理，野草蔓生。),草坪, ,　
四縣腔,38,著驚, ,"詞目分類索引/思維心態
聲母索引/01 四縣/g/o/陽入(8/ /5)",cog5 giang24,cog giangˊ,chho̍k-kiâng,chhok5-kiang1,,嚇到、受驚嚇。,例：你仰行路無聲無氣，害𠊎著驚一下。(你怎麼走路無聲無息，害我嚇一跳。),嚇著, ,　
四縣腔,39,著獎, ,"詞目分類索引/運動休閒
聲母索引/01 四縣/g/o/陽入(8/ /5)",cog5 jiong31,cog jiongˋ,chho̍k-chióng,chhok5-chiong3,,中獎。持有的摸彩券、獎券或統一發票等與開獎號碼相同，而獲得獎品或獎金。,例：想愛著獎無恁該，獎券買來搞生趣就好。(想要中獎沒那麼容易，獎券買來玩玩有趣就好。), , ,　
四縣腔,40,著傷, ,"詞目分類索引/疾病醫療
聲母索引/01 四縣/g/o/陽入(8/ /5)",cog5 song24,cog songˊ,chho̍k-sông,chhok5-song1,,受傷。,例：有哪著傷就愛遽遽醫好來，正毋會變暗傷。(有哪裡受傷就要趕緊醫好，才不會變內傷。),受傷　傷著, ,　
四縣腔,41,才調, ,"詞目分類索引/人物品評
聲母索引/01 四縣/c/oi/陽平(5/ˇ/11)",coi11 tiau55,coiˇ tiau,chhòi-thiau,chhoi2-thiau4,,能耐、才幹。通常用於貶損或質疑的語境。,例：你兩儕係恁有才調，兩日就做好來分𠊎看。(你們倆真有這麼行的話，兩天就做好讓我看看。), , ,　
四縣腔,42,菜包, ,"詞目分類索引/飲食
聲母索引/01 四縣/c/oi/去聲(3/ /55)",coi55 bau24,coi bauˊ,chhoi-pâu,chhoi4-pau1,,用米或麵粉製外皮，包裹蘿蔔絲等餡料，蒸熟以食用的食品。,例：這間店仔賣个菜包好食又便宜。(這間店賣的菜包好吃又便宜。),豬籠粄, ,　
四縣腔,43,菜刀, ,聲母索引/01 四縣/c/oi/去聲(3/ /55),coi55 do24,coi doˊ,chhoi-tô,chhoi4-to1,,廚房裡專門用來切菜、肉等食物的刀。,例：聽講金門个菜刀異有名，切看啊有利無？(聽說金門的菜刀頗有名氣，切看看鋒不鋒利？), , ,　
四縣腔,44,菜園, ,"聲母索引/01 四縣/c/oi/去聲(3/ /55)
詞目分類索引/產業勞動",coi55 ien11,coi ienˇ,chhoi-yèn,chhoi4-yen2,,種植蔬菜的園圃。,例：菜園種著兩廂菜來，就當有好食。(菜園種上兩畦菜，就很夠吃了。),菜地, ,　
四縣腔,45,長年菜, ,"詞目分類索引/宗教民俗
詞目分類索引/飲食",cong11 ngien11 coi55,congˇ ngienˇ coi,chhòng-ngièn-chhoi,chhong2-ngien2-chhoi4,,一種臺灣民間過年時吃的菜餚，象徵長壽。將芥菜洗淨切段，汆燙後以薑爆炒，並加入高湯燉煮而成。　,"過年愛用肥湯來炆長年菜食。
過年要用高湯煮長年菜吃。", , ,45-1-1-1-l.mp3　
四縣腔,46,長衫, ,"詞目分類索引/衣著裝扮
聲母索引/01 四縣/ng/o/陽平(5/ˇ/11)",cong11 sam24,congˇ samˊ,chhòng-sâm,chhong2-sam1,,長單衣。多指男子穿的大褂。,例：頭擺人著長衫做事毋方便，有閒个人正會著。(以前人穿大褂做事不方便，有閒暇的人才會穿。), , ,　
四縣腔,47,長豆仔, ,聲母索引/01 四縣/ng/o/陽平(5/ˇ/11),cong11 teu55 e31,congˇ teu eˋ,chhòng-theu-é,chhong2-theu4-e3,,豇豆。,例：長豆仔大出該下，食毋忒个做得拿來曬乾。(豇豆盛產時，吃不完的可以拿來曬成乾貨。), , ,　
四縣腔,48,出菜, ,"聲母索引/01 四縣/d/u/陰入(4/ˋ/2)
詞目分類索引/飲食",cud2 coi55,cudˋ coi,chhut-chhoi,chhut6-chhoi4,,上菜。將做好的菜端到餐桌上。,例：出菜愛較遽兜仔，無會赴毋掣分人客食。(上菜的速度要快一些，不然會趕不上給客人吃。), , ,　
四縣腔,49,出門, ,"詞目分類索引/宗教民俗
聲母索引/01 四縣/d/u/陰入(4/ˋ/2)
詞目分類索引/交通通訊",cud2 mun11,cudˋ munˇ,chhut-mùn,chhut6-mun2,,1.外出。　2.出殯。,"例：堵堵愛出門，就聽著電話響。(正要外出，就聽到電話響。)
例：厥公過身，後日愛出門。(他的爺爺過世，後天要出殯。)",2.出山　2.還山, ,　
四縣腔,50,出年假, , ,cud2 ngien11 ga55,cudˋ ngienˇ ga,chhut-ngièn-ka,chhut6-ngien2-ka4,,出年關。農曆正月初五後，為年假的結束。,例：出年假過後，大家都愛去上班吔。(正月初五後，大家都要去上班了。), ,入年假,50-1-1-1-l.mp3　
四縣腔,51,出山, ,"詞目分類索引/宗教民俗
聲母索引/01 四縣/d/u/陰入(4/ˋ/2)",cud2 san24,cudˋ sanˊ,chhut-sân,chhut6-san1,,出殯。,例：窮苦人過身，五、六日仔就出山。(窮苦人家過世，五、六天左右就出殯。),還山, ,　
四縣腔,52,出世, ,"詞目分類索引/宗教民俗
聲母索引/01 四縣/d/u/陰入(4/ˋ/2)",cud2 se55,cudˋ se,chhut-se,chhut6-se4,,出生、誕生。,例：阿哥个細人仔係上隻月正出世个。(哥哥的小孩是上個月才出生的。),下世,過身,　
四縣腔,53,窗門, ,"詞目分類索引/建築住居
聲母索引/01 四縣/ng/u/陰平(1/ˊ/24)",cung24 mun11,cungˊ munˇ,chhûng-mùn,chhung1-mun2,,窗戶。,例：年下仔拚掃，窗門愛記得洗淨來。(年前大掃除，要記得把窗戶洗乾淨。),窗仔　門窗, ,　
四縣腔,54,蔥頭, ,"詞目分類索引/飲食
詞目分類索引/植物
聲母索引/01 四縣/ng/u/陰平(1/ˊ/24)",cung24 teu11,cungˊ teuˇ,chhûng-thèu,chhung1-theu2,,1.洋蔥。百合科蔥屬，多年生草本。葉中空，似蔥而甚細。地下鱗莖呈扁球狀，紅紫色或白、褐等色，可以食用。　2.分蔥。多年生草本。原產亞洲西部。葉中空綠色，下部白色。繖形花序球形，花色白綠。鱗莖由多片鱗瓣群生，成熟後有紅色薄膜，供食用。,"例：蔥頭炒卵，異甜異好食。(洋蔥炒蛋，很甜很好吃。)
例：蔥頭𤐙香來煮大麵，好食到會尋尾。(紅蔥頭爆香煮麵，好吃得不得了。)",1.洋蔥　2.香蔥, ,　
四縣腔,55,打拚, ,"詞目分類索引/人物品評
詞目分類索引/產業勞動
聲母索引/01 四縣/d/a/上聲(2/ˋ/31)",da31 biang55,daˋ biang,tá-piang,ta3-piang4,,努力工作。,例：想愛有出息，就愛認真打拚。(想要有成就，就要認真努力工作。),煞猛,推懶,　
四縣腔,56,打幫, ,"詞目分類索引/人際互動
聲母索引/01 四縣/d/a/上聲(2/ˋ/31)",da31 bong24,daˋ bongˊ,tá-pông,ta3-pong1,,（1）依賴、得到助益。　（2）多虧。　（褒）受惠沾光。意指因為他人而讓自己得到幫助，有感謝的意涵。,"例：頭家係有賺錢，𫣆這兜就有好打幫。(老闆如果有賺錢，我們就可以受惠沾光。)
例：打幫你，𫣆正有今晡日个日仔。(多虧你，我們才有今天的日子。)",好得,搣衰,　
四縣腔,57,打卵見黃, ,"詞目分類索引/慣用語
聲母索引/01 四縣/d/a/上聲(2/ˋ/31)",da31 lon31 gien55 vong11,daˋ lonˋ gien vongˇ,tá-lón-kien-vòng,ta3-lon3-kien4-vong2,,打破蛋就看到蛋黃。比喻迅速收到成效。,例：做事情毋好想講一下就打卵見黃，愛有耐心定定仔做。(做事情不要想一下就立竿見影，要有耐心慢慢做。),一抽到嘴　一抽到胲, ,　
四縣腔,58,打早, ,"聲母索引/01 四縣/d/a/上聲(2/ˋ/31)
詞目分類索引/時間節令",da31 zo31,daˋ zoˋ,tá-chó,ta3-cho3,,一大早、趁早、趕早。,例：打早無閒到這下，還吂食朝，就晝吔。(一大早忙到現在，還沒吃早餐，就中午了。), , ,　
四縣腔,59,搭碓, ,"詞目分類索引/事物情狀
聲母索引/01 四縣/d/ab/陰入(4/ˋ/2)",dab2 doi55,dabˋ doi,tap-toi,tap6-toi4,,本義指舂米時杵與臼能夠密合，才能舂出白米。引申為意義、趣味。形容事物給人的正面觀感。,例：看電視無麼个搭碓，毋當去運動。(看電視沒什麼意思，不如去運動。),意思　生趣　鬥搭, ,　
四縣腔,60,低言細語, ,"詞目分類索引/人物品評
聲母索引/01 四縣/d/ai/陰平(1/ˊ/24)",dai24 ngien11 se55 ngi24,daiˊ ngienˇ se ngiˊ,tâi-ngièn-se-ngî,tai1-ngien2-se4-ngi1,,輕聲細語。說話聲音細小輕柔，形容謙虛有禮的樣子。,例：對長輩講話愛低言細語。(跟長輩說話要輕聲細語。), ,大聲響氣　大聲大氣,　
四縣腔,61,擔竿, ,"詞目分類索引/器物用品
聲母索引/01 四縣/m/a/去聲(3/ /55)",dam55 gon24,dam gonˊ,tam-kôn,tam4-kon1,,扁擔。挑東西的工具，通常用竹、木製成，呈扁長形。,例：老輩人會用擔竿㧡菜去市場賣。(老一輩的人會用扁擔挑菜去市場賣。), , ,　
四縣腔,62,擔頭, ,"詞目分類索引/器物用品
聲母索引/01 四縣/m/a/陰平(1/ˊ/24)",dam24 teu11,damˊ teuˇ,tâm-thèu,tam1-theu2,,1.擔子。合稱扁擔和掛在其兩端的東西，亦單指所挑的東西。　2.負擔的責任。,"例：擔頭恁重，㧡到腰骨都伸毋直。(擔子這麼重，挑得腰都伸不直。)
例：做事个人數減少，大家擔頭加較重。(工作的人數減少，大家責任比較重。)",擔仔, ,　
四縣腔,63,單瞼目, ,聲母索引/01 四縣/n/a/陰平(1/ˊ/24),dan24 ngiam24 mug2,danˊ ngiamˊ mugˋ,tân-ngiâm-muk,tan1-ngiam1-muk6,,單眼皮。,例：有兜單瞼目个人，會去手術變雙瞼。(有些單眼皮的人，會去手術變雙眼皮。),單瞼, ,　
四縣腔,64,訂簿記數, ,"詞目分類索引/慣用語
聲母索引/01 四縣/ng/a/陰平(1/ˊ/24)",dang24 pu24 gi55 sii55,dangˊ puˊ gi sii,tâng-phû-ki-sṳ,tang1-phu1-ki4-sii4,,記帳。在會計工作中依照一定的格式，記載有關於出納項目的技術。,例：訂簿記數愛寫真來，正毋會毋著。(記帳要寫清晰，才不會出差錯。), , ,　
四縣腔,65,燈盞, ,"聲母索引/01 四縣/n/e/陰平(1/ˊ/24)
詞目分類索引/器物用品",den24 zan31,denˊ zanˋ,tên-chán,ten1-chan3,,油燈。燃油的照明器具。,例：頭擺無電火，暗晡頭用燈盞點火。(以前沒有電燈，晚上點油燈),油盞, ,　
四縣腔,66,等路, ,"詞目分類索引/器物用品
聲母索引/01 四縣/n/e/上聲(2/ˋ/31)",den31 lu55,denˋ lu,tén-lu,ten3-lu4,,禮物。作客或回家時所帶的禮品。,例：人來就好，還擐等路來，恁工夫。(人來就好，還帶禮物來，這麼周到。),手信, ,　
四縣腔,67,知重輕, ,聲母索引/01 四縣/d/i/陰平(1/ˊ/24),di24 cung24 kiang24,diˊ cungˊ kiangˊ,tî-chhûng-khiâng,ti1-chhung1-khiang1,,懂得事情的輕重緩急。,例：這隻細妹仔做事情異知重輕，倚恃欸得。(這個女孩做事很懂得輕重緩急，可以信賴。), , ,　
四縣腔,68,知上知下, ,聲母索引/01 四縣/d/i/陰平(1/ˊ/24),di24 song55 di24 ha55,diˊ song diˊ ha,tî-song-tî-ha,ti1-song4-ti1-ha4,,明辨倫理，懂得人情世故。,例：後生人愛知上知下，正會有人緣。(年輕人要懂得上下應對的道理，人緣才會好。),知上下　知分寸, ,　
四縣腔,69,知頭知尾, ,"詞目分類索引/慣用語
詞目分類索引/人際互動
詞目分類索引/人物品評
聲母索引/01 四縣/d/i/陰平(1/ˊ/24)",di24 teu11 di24 mi24,diˊ teuˇ diˊ miˊ,tî-thèu-tî-mî,ti1-theu2-ti1-mi1,,知道事情的原委。,例：這件事情，你知頭知尾个人來講，較清楚。(這件事情，由你知道原委的人來說，比較清楚。), , ,　
四縣腔,70,知死, ,"詞目分類索引/思維心態
聲母索引/01 四縣/d/i/陰平(1/ˊ/24)",di24 xi31,diˊ xiˋ,tî-sí,ti1-si3,,知道事態嚴重，甚而感到害怕或後悔。,例：講毋會聽，等阿姆轉來你就知死哩！(講不聽，等媽媽回來你就慘了！),知差　知慘, ,　
四縣腔,71,恬靜, ,"詞目分類索引/事物情狀
聲母索引/01 四縣/m/ia/陰平(1/ˊ/24)",diam24 qin55,diamˊ qin,tiâm-chhin,tiam1-chhin4,,安靜無聲。,例：學生仔避暑放尞，歸學校仔當恬靜。(學生放暑假，整個學校很安靜。),恬索索　恬恬,吵鬧,　
四縣腔,72,點穴, ,聲母索引/01 四縣/m/ia/上聲(2/ˋ/31),diam31 hied5,diamˋ hied,tiám-hie̍t,tiam3-hiet5,,1.請堪輿師尋覓龍脈結穴之處。　2.點穴道。,"例：一般人做風水，定著會請地理先生來點穴。(一般人建造墳墓，一定會請堪輿師來尋求龍脈結穴之處。)
例：小說中个武林高手會點穴。(小說中的武林高手懂得點穴。)", , ,　
